GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
builder,com.KGiSL.builder.Entity,Car,19,17,0,0,8,8,3,5,3,5
builder,com.KGiSL.builder.Entity,CarBuilder,6,23,0,0,2,8,1,4,1,4
